PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,0,1,26,1,26,1,0
1,Cider,25,50,50,75,0,25,0,0
2,Cider,25,100,100,126,0,26,0,0
3,B52,200,150,150,350,0,200,0,0
1,Tequila shot,20,176,353,373,177,197,177,0
0,Bloody Mary,70,176,375,445,199,269,199,0
4,White Wine,25,200,448,473,248,273,248,0
2,Martini,60,226,475,535,249,309,249,0
5,Red Wine,25,250,537,563,287,313,287,0
6,Martini,60,300,565,625,265,325,265,0
7,Beer,25,350,627,652,277,302,277,0
3,Beer,25,361,654,680,293,319,293,0
1,Gin and Tonic,40,376,682,722,306,346,306,0
8,Mojito,75,400,724,800,324,400,324,0
9,Margarita,75,450,802,877,352,427,352,0
10,Beer,25,500,879,904,379,404,379,0
11,Gin and Tonic,40,550,906,947,356,397,356,0
0,Tequila shot,20,596,949,969,353,373,353,0
12,Pina Colada,100,600,971,1071,371,471,371,0
4,B52,200,623,1074,1274,451,651,451,0
2,White Wine,25,646,1276,1301,630,655,630,0
13,Pina Colada,100,650,1303,1404,653,754,653,0
14,Margarita,75,700,1406,1481,706,781,706,0
5,Cider,25,713,1483,1508,770,795,770,0
6,Martini,60,735,1511,1571,776,836,776,0
15,Gin and Tonic,40,750,1573,1614,823,864,823,0
7,Bloody Mary,70,753,1616,1686,863,933,863,0
3,Pina Colada,100,780,1688,1789,908,1009,908,0
16,Draft Beer,50,800,1791,1841,991,1041,991,0
1,Gin and Tonic,40,832,1843,1884,1011,1052,1011,0
17,Bloody Mary,70,850,1886,1956,1036,1106,1036,0
18,Gin and Tonic,40,900,1958,1998,1058,1098,1058,0
8,White Wine,25,910,2001,2026,1091,1116,1091,0
19,White Wine,25,950,2028,2053,1078,1103,1078,0
9,Beer,25,957,2056,2081,1099,1124,1099,0
0,Beer,25,972,2083,2108,1111,1136,1111,0
20,Mojito,75,1000,2110,2186,1110,1186,1110,0
10,Pina Colada,100,1004,2188,2288,1184,1284,1184,0
21,Pina Colada,100,1050,2290,2391,1240,1341,1240,0
11,Cosmopolitan,65,1057,2393,2458,1336,1401,1336,0
22,B52,200,1100,2460,2661,1360,1561,1360,0
23,Bloody Mary,70,1150,2663,2733,1513,1583,1513,0
12,Martini,60,1192,2736,2796,1544,1604,1544,0
24,Draft Beer,50,1200,2798,2848,1598,1648,1598,0
25,White Wine,25,1250,2851,2876,1601,1626,1601,0
4,Cosmopolitan,65,1284,2878,2943,1594,1659,1594,0
26,Draft Beer,50,1300,2945,2996,1645,1696,1645,0
27,White Wine,25,1350,2998,3023,1648,1673,1648,0
28,Draft Beer,50,1400,3025,3076,1625,1676,1625,0
29,Pina Colada,100,1450,3078,3178,1628,1728,1628,0
2,Pina Colada,100,1451,3180,3281,1729,1830,1729,0
13,White Wine,25,1524,3283,3308,1759,1784,1759,0
14,Martini,60,1562,3310,3371,1748,1809,1748,0
5,Vodka shot,20,1609,3373,3393,1764,1784,1764,0
6,White Wine,25,1682,3395,3420,1713,1738,1713,0
15,Bloody Mary,70,1724,3423,3493,1699,1769,1699,0
7,Pina Colada,100,1837,3495,3595,1658,1758,1658,0
3,Red Wine,25,1909,3598,3623,1689,1714,1689,0
16,Gin and Tonic,40,1942,3625,3665,1683,1723,1683,0
1,Cider,25,1994,3668,3693,1674,1699,1674,0
17,Draft Beer,50,2106,3695,3745,1589,1639,1589,0
18,B52,200,2109,3747,3948,1638,1839,1638,0
8,Beer,25,2176,3950,3975,1774,1799,1774,0
9,Vodka shot,20,2181,3977,3997,1796,1816,1796,0
19,B52,200,2204,4000,4200,1796,1996,1796,0
0,B52,200,2209,4202,4402,1993,2193,1993,0
20,Martini,60,2296,4404,4465,2108,2169,2108,0
10,Red Wine,25,2409,4467,4492,2058,2083,2058,0
11,Tequila shot,20,2509,4494,4514,1985,2005,1985,0
21,Cosmopolitan,65,2511,4517,4582,2006,2071,2006,0
22,Bloody Mary,70,2671,4584,4654,1913,1983,1913,0
23,Margarita,75,2884,4657,4732,1773,1848,1773,0
12,Pina Colada,100,2906,4734,4834,1828,1928,1828,0
24,Red Wine,25,2949,4836,4862,1887,1913,1887,0
4,Pina Colada,100,2994,4864,4964,1870,1970,1870,0
25,Martini,60,3026,4966,5026,1940,2000,1940,0
26,Margarita,75,3096,5029,5104,1933,2008,1933,0
27,Bloody Mary,70,3174,5106,5176,1932,2002,1932,0
28,White Wine,25,3176,5178,5203,2002,2027,2002,0
29,Cider,25,3298,5206,5231,1908,1933,1908,0
5,Tequila shot,20,3396,5233,5253,1837,1857,1837,0
2,Red Wine,25,3401,5256,5281,1855,1880,1855,0
13,Martini,60,3458,5283,5343,1825,1885,1825,0
14,Beer,25,3481,5345,5370,1864,1889,1864,0
6,Draft Beer,50,3571,5373,5423,1802,1852,1802,0
15,Cider,25,3643,5425,5450,1782,1807,1782,0
7,Cosmopolitan,65,3716,5453,5518,1737,1802,1737,0
3,Cosmopolitan,65,3773,5520,5585,1747,1812,1747,0
16,Martini,60,3776,5587,5648,1811,1872,1811,0
17,Red Wine,25,3846,5650,5675,1804,1829,1804,0
18,Mojito,75,3958,5677,5752,1719,1794,1719,0
9,Gin and Tonic,40,4001,5755,5795,1754,1794,1754,0
8,Cider,25,4075,5797,5822,1722,1747,1722,0
19,Tequila shot,20,4210,5825,5845,1615,1635,1615,0
11,B52,200,4518,5847,6047,1329,1529,1329,0
20,Cider,25,4575,6050,6075,1475,1500,1475,0
21,Cosmopolitan,65,4633,6077,6142,1444,1509,1444,0
10,Gin and Tonic,40,4642,6144,6185,1502,1543,1502,0
22,Margarita,75,4805,6187,6262,1382,1457,1382,0
23,Pina Colada,100,4812,6264,6365,1452,1553,1452,0
12,Tequila shot,20,4955,6367,6387,1412,1432,1412,0
24,Bloody Mary,70,5012,6389,6459,1377,1447,1377,0
4,Mojito,75,5084,6462,6537,1378,1453,1378,0
25,Red Wine,25,5137,6539,6564,1402,1427,1402,0
26,Martini,60,5184,6566,6627,1382,1443,1382,0
5,Vodka shot,20,5257,6629,6649,1372,1392,1372,0
27,Cosmopolitan,65,5327,6651,6716,1324,1389,1324,0
29,Margarita,75,5332,6718,6794,1386,1462,1386,0
28,Bloody Mary,70,5354,6796,6866,1442,1512,1442,0
13,Beer,25,5453,6868,6893,1415,1440,1415,0
14,Margarita,75,5471,6896,6971,1425,1500,1425,0
6,Red Wine,25,5523,6973,6998,1450,1475,1450,0
15,Mojito,75,5551,7000,7076,1449,1525,1449,0
7,Vodka shot,20,5568,7078,7098,1510,1530,1510,0
16,Gin and Tonic,40,5758,7100,7140,1342,1382,1342,0
17,Tequila shot,20,5825,7143,7163,1318,1338,1318,0
19,Vodka shot,20,5848,7165,7185,1317,1337,1317,0
18,Bloody Mary,70,5863,7187,7257,1324,1394,1324,0
9,Margarita,75,5905,7259,7335,1354,1430,1354,0
8,Cosmopolitan,65,5923,7337,7402,1414,1479,1414,0
11,Gin and Tonic,40,6058,7404,7445,1346,1387,1346,0
20,Cider,25,6175,7447,7472,1272,1297,1272,0
21,Martini,60,6193,7474,7535,1281,1342,1281,0
10,Pina Colada,100,6295,7537,7637,1242,1342,1242,0
22,Beer,25,6343,7639,7665,1296,1322,1296,0
12,Mojito,75,6390,7667,7742,1277,1352,1277,0
23,Draft Beer,50,6485,7744,7795,1259,1310,1259,0
24,Cider,25,6610,7797,7822,1187,1212,1187,0
25,Pina Colada,100,6715,7824,7924,1109,1209,1109,0
26,Draft Beer,50,6737,7927,7977,1190,1240,1190,0
27,Draft Beer,50,6767,7979,8029,1212,1262,1212,0
29,Beer,25,6874,8031,8057,1157,1183,1157,0
13,Pina Colada,100,6994,8059,8159,1065,1165,1065,0
28,Draft Beer,50,7016,8161,8211,1145,1195,1145,0
14,Mojito,75,7051,8213,8289,1162,1238,1162,0
17,Martini,60,7166,8291,8351,1125,1185,1125,0
15,Tequila shot,20,7186,8353,8374,1167,1188,1167,0
19,Beer,25,7188,8376,8401,1188,1213,1188,0
16,Beer,25,7251,8403,8428,1152,1177,1152,0
18,Pina Colada,100,7407,8430,8530,1023,1123,1023,0
20,Martini,60,7572,8533,8593,961,1021,961,0
21,Beer,25,7645,8595,8620,950,975,950,0
22,Vodka shot,20,7765,8623,8643,858,878,858,0
23,Martini,60,7895,8645,8705,750,810,750,0
24,B52,200,7922,8707,8907,785,985,785,0
25,Martini,60,8045,8910,8970,865,925,865,0
26,Cider,25,8077,8972,8997,895,920,895,0
27,Martini,60,8130,8999,9059,869,929,869,0
29,Draft Beer,50,8157,9061,9112,904,955,904,0
28,Margarita,75,8312,9114,9189,802,877,802,0
